,codigo postal,renta bruta media,renta disponible media
0,02001,32.036,25.823
1,02002,30.426,24.615
2,02003,26.866,22.145
3,02004,23.072,19.449
4,02005,25.098,20.822
5,02006,24.547,20.413
6,02008,27.960,22.648
7,02049,22.754,19.155
8,03001,37.776,29.898
9,03002,30.584,24.873
10,03003,39.291,30.805
11,03004,29.051,23.609
12,03005,27.678,22.623
13,03006,21.454,18.272
14,03007,24.359,20.287
15,03008,27.780,22.692
16,03009,20.581,17.572
17,03010,21.706,18.474
18,03011,17.874,15.631
19,03012,19.482,16.821
20,03013,21.269,18.120
21,03014,22.621,18.915
22,03015,26.218,21.590
23,03016,35.278,27.993
24,03112,21.188,17.995
25,03113,22.624,19.034
26,03195,23.648,19.721
27,03201,21.881,18.328
28,03202,24.213,19.973
29,03203,27.099,22.110
30,03204,18.922,16.221
31,03205,17.377,15.193
32,03206,15.776,14.013
33,03208,26.112,21.533
34,03291,24.513,20.184
35,03292,21.058,17.852
36,03293,26.909,21.999
37,03294,19.304,16.685
38,03295,25.441,20.585
39,03296,23.145,19.175
40,03320,21.005,17.829
41,03540,38.532,30.099
42,03699,22.383,18.919
43,04001,35.661,28.086
44,04002,20.810,17.661
45,04003,24.827,20.600
46,04004,32.978,26.365
47,04005,26.996,22.191
48,04006,25.971,21.468
49,04007,28.315,22.927
50,04008,19.657,16.857
51,04009,23.034,19.222
52,04120,19.982,17.043
53,04130,19.525,16.683
54,04131,26.115,21.370
55,07001,55.038,42.585
56,07002,47.300,36.057
57,07003,38.925,30.839
58,07004,28.800,23.509
59,07005,26.100,21.636
60,07006,29.744,24.220
61,07007,25.249,21.050
62,07008,22.609,19.142
63,07009,24.702,20.670
64,07010,30.669,24.834
65,07011,30.766,24.897
66,07012,58.944,45.029
67,07013,35.664,28.377
68,07014,50.888,39.505
69,07015,42.184,33.010
70,07120,33.238,26.679
71,07198,26.940,22.292
72,07199,27.747,22.955
73,07600,23.226,19.483
74,07610,34.428,27.663
75,08001,23.464,19.437
76,08002,33.294,26.177
77,08003,32.286,25.768
78,08004,27.518,22.526
79,08005,39.290,30.604
80,08006,55.071,41.987
81,08007,64.439,48.345
82,08008,65.297,48.426
83,08009,49.083,37.703
84,08010,53.626,41.037
85,08011,39.844,31.241
86,08012,36.881,28.949
87,08013,36.138,28.585
88,08014,33.808,26.905
89,08015,36.873,29.247
90,08016,26.261,21.864
91,08017,97.866,71.746
92,08018,34.639,27.426
93,08019,37.387,29.157
94,08020,27.012,22.402
95,08021,88.149,64.833
96,08022,76.037,57.027
97,08023,45.259,35.137
98,08024,35.895,28.525
99,08025,34.626,27.556
100,08026,31.094,25.114
101,08027,30.188,24.570
102,08028,37.985,29.875
103,08029,44.009,34.166
104,08030,30.790,24.941
105,08031,28.264,23.298
106,08032,29.287,23.915
107,08033,21.027,18.071
108,08034,92.053,68.116
109,08035,33.912,27.142
110,08036,45.746,35.387
111,08037,45.382,35.282
112,08038,27.741,22.789
113,08041,33.194,26.580
114,08042,25.641,21.384
115,08172,52.582,40.161
116,08173,61.380,45.346
117,08174,48.782,36.604
118,08195,62.874,46.418
119,08197,66.269,48.556
120,08198,45.977,35.187
121,08201,40.277,31.453
122,08202,36.017,28.478
123,08203,30.142,24.440
124,08204,23.081,19.560
125,08205,29.461,23.906
126,08206,27.414,22.497
127,08207,23.882,20.138
128,08208,30.921,24.971
129,08221,40.243,31.390
130,08222,26.899,22.105
131,08223,26.355,21.722
132,08224,29.364,23.865
133,08225,28.297,23.105
134,08226,24.639,20.523
135,08227,24.461,20.422
136,08228,27.267,22.478
137,08901,29.052,23.597
138,08902,28.079,23.004
139,08903,24.174,20.260
140,08904,23.101,19.472
141,08905,21.456,18.479
142,08906,22.976,19.545
143,08907,25.541,21.443
144,08908,31.321,25.142
145,08911,34.895,27.826
146,08912,33.419,26.766
147,08913,23.117,19.628
148,08914,22.034,18.826
149,08915,28.401,23.395
150,08916,38.884,30.877
151,08917,25.554,21.159
152,08918,21.529,18.212
153,09001,29.723,24.325
154,09002,28.180,23.251
155,09003,29.140,23.955
156,09004,35.849,28.941
157,09005,29.847,24.527
158,09006,29.255,23.964
159,09007,23.906,20.204
160,11400,21.087,17.929
161,11401,23.012,19.483
162,11402,31.185,25.342
163,11403,26.847,22.162
164,11404,20.197,17.507
165,11405,26.863,22.167
166,11406,22.389,19.060
167,11407,29.571,24.102
168,11408,20.300,17.505
169,11570,17.123,15.166
170,11591,18.764,16.454
171,12001,37.517,29.498
172,12002,31.721,25.481
173,12003,30.792,24.750
174,12004,26.624,21.718
175,12005,27.591,22.468
176,12006,23.497,19.633
177,12100,26.528,21.690
178,14001,31.495,25.228
179,14002,26.564,21.751
180,14003,32.651,26.069
181,14004,30.396,24.636
182,14005,28.372,23.165
183,14006,25.818,21.297
184,14007,21.075,17.982
185,14008,38.523,30.161
186,14009,20.454,17.509
187,14010,20.073,17.233
188,14011,28.188,22.946
189,14012,40.328,31.136
190,14013,17.321,15.191
191,14014,21.692,18.378
192,14193,19.391,16.743
193,14610,21.829,18.311
194,14710,20.344,17.309
195,15001,35.335,28.040
196,15002,28.527,23.203
197,15003,39.290,30.772
198,15004,48.884,37.766
199,15005,38.714,30.235
200,15006,30.967,25.006
201,15007,23.409,19.638
202,15008,27.953,22.850
203,15009,27.712,22.615
204,15010,22.844,19.293
205,15011,28.613,23.318
206,15190,25.169,20.929
207,18001,33.086,26.476
208,18002,35.550,28.539
209,18003,30.035,24.545
210,18004,31.896,25.792
211,18005,34.024,27.430
212,18006,28.830,23.678
213,18007,21.334,18.198
214,18008,31.195,25.165
215,18009,35.387,28.245
216,18010,29.568,23.979
217,18011,20.857,17.759
218,18012,34.348,27.614
219,18013,23.224,19.510
220,18014,32.011,25.860
221,18015,24.303,20.379
222,26001,32.441,26.074
223,26002,30.359,24.949
224,26003,29.192,24.032
225,26004,24.262,20.394
226,26005,25.780,21.512
227,26006,31.266,25.287
228,26007,31.789,25.539
229,26008,31.430,25.292
230,28001,95.492,71.599
231,28002,56.565,43.426
232,28003,54.610,41.968
233,28004,46.241,35.353
234,28005,38.190,30.078
235,28006,91.283,68.569
236,28007,44.363,34.703
237,28008,56.732,43.807
238,28009,56.904,43.765
239,28010,72.484,54.920
240,28011,28.649,23.578
241,28012,31.351,25.118
242,28013,46.956,36.653
243,28014,61.845,47.443
244,28015,42.662,33.475
245,28016,68.463,51.338
246,28017,26.357,21.889
247,28018,23.637,19.885
248,28019,26.222,21.796
249,28020,44.741,34.930
